"","GEOID","NAME","variable","estimate","moe"
"246","270530224002","Block Group 2; Census Tract 224; Hennepin County; Minnesota","median_income",106354,63367
"247","270530224003","Block Group 3; Census Tract 224; Hennepin County; Minnesota","median_income",98750,14637
"248","270530224004","Block Group 4; Census Tract 224; Hennepin County; Minnesota","median_income",98750,34374
"249","270530227001","Block Group 1; Census Tract 227; Hennepin County; Minnesota","median_income",69757,8173
"250","270530227002","Block Group 2; Census Tract 227; Hennepin County; Minnesota","median_income",95000,39450
"251","270530227003","Block Group 3; Census Tract 227; Hennepin County; Minnesota","median_income",144792,30578
"252","270530228011","Block Group 1; Census Tract 228.01; Hennepin County; Minnesota","median_income",135000,66888
"253","270530228012","Block Group 2; Census Tract 228.01; Hennepin County; Minnesota","median_income",189000,19742
"254","270530228021","Block Group 1; Census Tract 228.02; Hennepin County; Minnesota","median_income",90833,19909
"255","270530228022","Block Group 2; Census Tract 228.02; Hennepin County; Minnesota","median_income",40117,9024
"256","270530228023","Block Group 3; Census Tract 228.02; Hennepin County; Minnesota","median_income",75027,11529
"257","270530229011","Block Group 1; Census Tract 229.01; Hennepin County; Minnesota","median_income",213644,66209
"258","270530229012","Block Group 2; Census Tract 229.01; Hennepin County; Minnesota","median_income",160882,42385
"259","270530229013","Block Group 3; Census Tract 229.01; Hennepin County; Minnesota","median_income",67895,15549
"260","270530229014","Block Group 4; Census Tract 229.01; Hennepin County; Minnesota","median_income",95446,7948
"261","270530229015","Block Group 5; Census Tract 229.01; Hennepin County; Minnesota","median_income",78721,22300
"262","270530229021","Block Group 1; Census Tract 229.02; Hennepin County; Minnesota","median_income",186875,58293
"263","270530229022","Block Group 2; Census Tract 229.02; Hennepin County; Minnesota","median_income",151625,43566
"264","270530230001","Block Group 1; Census Tract 230; Hennepin County; Minnesota","median_income",57292,26307
"265","270530230002","Block Group 2; Census Tract 230; Hennepin County; Minnesota","median_income",151625,31276
"266","270530230003","Block Group 3; Census Tract 230; Hennepin County; Minnesota","median_income",136776,23966
"267","270530230004","Block Group 4; Census Tract 230; Hennepin County; Minnesota","median_income",98167,30387
"268","270530231001","Block Group 1; Census Tract 231; Hennepin County; Minnesota","median_income",156250,62181
"269","270530231002","Block Group 2; Census Tract 231; Hennepin County; Minnesota","median_income",241563,112036
"270","270530232011","Block Group 1; Census Tract 232.01; Hennepin County; Minnesota","median_income",77734,50173
"271","270530232012","Block Group 2; Census Tract 232.01; Hennepin County; Minnesota","median_income",62218,23973
"272","270530232021","Block Group 1; Census Tract 232.02; Hennepin County; Minnesota","median_income",89055,21359
"273","270530232022","Block Group 2; Census Tract 232.02; Hennepin County; Minnesota","median_income",60375,22107
"274","270530232023","Block Group 3; Census Tract 232.02; Hennepin County; Minnesota","median_income",32639,20547
"275","270530233001","Block Group 1; Census Tract 233; Hennepin County; Minnesota","median_income",135145,17724
"276","270530233002","Block Group 2; Census Tract 233; Hennepin County; Minnesota","median_income",83418,9772
"277","270530233003","Block Group 3; Census Tract 233; Hennepin County; Minnesota","median_income",81333,46235
"278","270530233004","Block Group 4; Census Tract 233; Hennepin County; Minnesota","median_income",40816,15591
"279","270530233005","Block Group 5; Census Tract 233; Hennepin County; Minnesota","median_income",49075,4336
"280","270530234011","Block Group 1; Census Tract 234.01; Hennepin County; Minnesota","median_income",131625,41060
"281","270530234012","Block Group 2; Census Tract 234.01; Hennepin County; Minnesota","median_income",42317,30658
"282","270530234013","Block Group 3; Census Tract 234.01; Hennepin County; Minnesota","median_income",75000,24506
"283","270530234021","Block Group 1; Census Tract 234.02; Hennepin County; Minnesota","median_income",168281,94647
"284","270530234022","Block Group 2; Census Tract 234.02; Hennepin County; Minnesota","median_income",NA,NA
"285","270530235011","Block Group 1; Census Tract 235.01; Hennepin County; Minnesota","median_income",54561,42010
"286","270530235012","Block Group 2; Census Tract 235.01; Hennepin County; Minnesota","median_income",146375,63231
"287","270530235013","Block Group 3; Census Tract 235.01; Hennepin County; Minnesota","median_income",236250,61358
"288","270530235014","Block Group 4; Census Tract 235.01; Hennepin County; Minnesota","median_income",67500,16986
"289","270530235021","Block Group 1; Census Tract 235.02; Hennepin County; Minnesota","median_income",250001,NA
"290","270530235022","Block Group 2; Census Tract 235.02; Hennepin County; Minnesota","median_income",204222,90609
"291","270530235023","Block Group 3; Census Tract 235.02; Hennepin County; Minnesota","median_income",91645,62099
"292","270530235024","Block Group 4; Census Tract 235.02; Hennepin County; Minnesota","median_income",134554,75263
"293","270530235025","Block Group 5; Census Tract 235.02; Hennepin County; Minnesota","median_income",101404,29278
